City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Bermejo,AR,-32.8833,-68.8,44.67,47,2,11.03,clear sky
220,Lagoa,PT,39.05,-27.9833,70.36,87,0,9.6,clear sky
221,Bilibino,RU,68.0546,166.4372,48.61,92,22,1.63,few clouds
222,Sola,VU,-13.8833,167.55,79.97,76,60,27.74,light rain
223,Isiro,CD,2.7739,27.616,72.28,85,63,2.73,light rain
224,Paris,FR,48.8534,2.3488,86.95,30,0,11.5,clear sky
225,Basco,PH,20.4487,121.9702,85.05,83,100,16.28,overcast clouds
226,Baykit,RU,61.67,96.37,52.41,95,72,1.72,broken clouds
227,Tripoli,LY,32.8752,13.1875,82.85,54,0,16.93,clear sky
228,Zeya,RU,53.75,127.2667,65.77,92,26,2.44,scattered clouds
229,Limbang,MY,4.75,115.0,84.31,86,92,0.76,heavy intensity rain
230,Cap Malheureux,MU,-19.9842,57.6142,70.47,70,11,5.01,few clouds
231,Geraldton,AU,-28.7667,114.6,54.01,87,100,6.91,overcast clouds
232,Broome,US,42.2506,-75.833,79.68,69,100,5.01,overcast clouds
233,Vanimo,PG,-2.6741,141.3028,78.33,89,90,7.74,light rain
234,Dekar,BW,-21.5333,21.9333,62.64,27,0,8.93,clear sky
235,Arlit,NE,18.7369,7.3853,83.5,53,41,20.58,light rain
236,Jamestown,US,42.097,-79.2353,75.52,49,100,4.61,overcast clouds
237,Sorland,NO,67.667,12.6934,55.26,82,100,11.43,overcast clouds
238,Banamba,ML,13.55,-7.45,97.12,33,75,8.39,broken clouds
239,Severo-Kurilsk,RU,50.6789,156.125,52.92,97,99,4.9,overcast clouds
240,Namatanai,PG,-3.6667,152.4333,78.94,83,66,6.17,light rain
241,Constitucion,CL,-35.3333,-72.4167,50.14,72,72,6.22,moderate rain
242,Dothan,US,31.2232,-85.3905,86.32,72,45,1.01,scattered clouds
243,Reconquista,AR,-29.15,-59.65,48.18,90,100,17.47,overcast clouds
244,Sinnamary,GF,5.3833,-52.95,84.7,68,17,7.11,few clouds
245,Omboue,GA,-1.5746,9.2618,74.41,79,98,8.72,overcast clouds
246,Henties Bay,NA,-22.116,14.2845,71.69,42,0,8.59,clear sky
247,Souillac,MU,-20.5167,57.5167,70.43,67,0,14.72,clear sky
248,Springbok,ZA,-29.6643,17.8865,64.17,23,0,7.18,clear sky
249,Aklavik,CA,68.2191,-135.0107,55.27,55,100,14.05,overcast clouds
250,Yerbogachen,RU,61.2767,108.0108,56.14,76,92,3.22,overcast clouds
251,Avarua,CK,-21.2078,-159.775,71.65,83,75,16.11,light rain
252,Newport,GB,51.5877,-2.9984,85.12,42,70,1.72,broken clouds
253,Kilindoni,TZ,-7.9139,39.6668,76.32,69,96,17.74,overcast clouds
254,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,51.85,94,100,15.7,overcast clouds
255,Taltal,CL,-25.4,-70.4833,61.03,42,0,8.63,clear sky
256,Chivacoa,VE,10.1603,-68.895,90.43,47,73,3.49,broken clouds
