City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
208,Katsuura,JP,75.22,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
209,Almaty,KZ,76.91,few clouds,43.25,76.95,Holiday Inn Almaty
213,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
222,Sola,VU,79.97,light rain,-13.8833,167.55,Leumerus Bungalows
224,Paris,FR,86.95,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
225,Basco,PH,85.05,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
227,Tripoli,LY,82.85,clear sky,32.8752,13.1875,Al Waddan Hotel
229,Limbang,MY,84.31,heavy intensity rain,4.75,115.0,Purnama Hotel
232,Broome,US,79.68,overcast clouds,42.2506,-75.833,Chenango Valley State Park
233,Vanimo,PG,78.33,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
235,Arlit,NE,83.5,light rain,18.7369,7.3853,Case de Passage De la Prefecture
236,Jamestown,US,75.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
240,Namatanai,PG,78.94,light rain,-3.6667,152.4333,Seagulls Inn Namatani
242,Dothan,US,86.32,scattered clouds,31.2232,-85.3905,Courtyard by Marriott Dothan
244,Sinnamary,GF,84.7,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
252,Newport,GB,85.12,broken clouds,51.5877,-2.9984,ibis budget Newport
253,Kilindoni,TZ,76.32,overcast clouds,-7.9139,39.6668,Bustani B&B
259,Znamensk,RU,86.07,scattered clouds,48.5842,45.7338,"Gostinitsa ""Znamensk"""
261,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,hotel la terminal
262,Mitsamiouli,KM,76.66,few clouds,-11.3847,43.2844,Foyer ADM
267,Santiago De Las Vegas,CU,85.91,broken clouds,22.97,-82.3869,Bella Vista Miramar
273,Bandarbeyla,SO,78.78,broken clouds,9.4942,50.8122,JABIR HOTEL
276,Port Hawkesbury,CA,81.91,broken clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
278,Shakhtinsk,KZ,82.36,few clouds,49.71,72.5872,Orifleym
279,Buta,CD,77.92,light rain,2.7858,24.73,Hôtel BOPANDO
280,Puerto Escondido,MX,84.67,light rain,15.85,-97.0667,Aldea del Bazar Hotel and Spa
